Company Name,Ticker,TrailingPER,ForwardPER,EPSGrowth,ROE,PayoutRatio,MarketCap,Sector,Beta,DebtToEquity
Invitation Homes,INVH,24.688072,37.85396,0.605,0.070539996,1.0917,15893670912.0,Real Estate,0.831,94.425
IQVIA,IQV,33.178085,18.425283,-0.006,0.22818,0.0,43852734464.0,Healthcare,1.186,257.975
J.B. Hunt,JBHT,33.32148,23.331953,0.458,0.18448,0.2532,21999572992.0,Industrials,1.289,38.373
Jabil,JBL,37.49312,17.793272,0.276,0.65876,0.0401,31391068160.0,Technology,1.292,297.136
Jack Henry & Associates,JKHY,22.184814,19.71775,-0.104,0.24040002,0.341,10856937472.0,Technology,0.564,3.793
Jacobs Solutions,J,47.641193,17.363192,-0.254,0.07998,0.4518,16783335424.0,Industrials,0.679,124.734
Johnson & Johnson,JNJ,31.321344,21.977207,-0.009,0.25742,0.6079,650648485888.0,Healthcare,0.235,57.709
Johnson Controls,JCI,40.360565,23.59404,0.153,0.14332,0.45069999,86790635520.0,Industrials,1.304,70.107
Kenvue,KVUE,20.95294,14.365104,0.085,0.15581,0.97650003,34208974848.0,Consumer Defensive,0.426,81.617
Keurig Dr Pepper,KDP,31.272726,12.21456,-0.9,0.051,0.9293,42131169280.0,Consumer Defensive,0.414,99.649
Keysight Technologies,KEYS,45.33153,24.150114,1.091,0.20897,0.0,57031991296.0,Technology,1.208,42.094
Kimberly-Clark,KMB,19.339922,13.081558,-0.323,1.04913,1.0040001,32546185216.0,Consumer Defensive,0.273,348.933
Kimco Realty,KIM,26.197676,25.602274,-0.058,0.05806,1.1977,15112885248.0,Real Estate,0.956,84.993
Kinder Morgan,KMI,20.541937,20.623232,0.212,0.109910004,0.7581,70901383168.0,Energy,0.551,98.619
KKR & Co.,KKR,31.568687,13.336176,0.4,0.0728,0.23959999,91259977728.0,Financial Services,1.791,69.812
KLA Corporation,KLAC,48.22616,26.395184,0.138,0.87496,0.2186,231245725696.0,Technology,1.444,96.88
Kroger,KR,32.43243,10.884748,0.136,0.14442,0.7568,35760001024.0,Consumer Defensive,0.406,413.24
L3Harris,LHX,25.004044,18.264566,0.283,0.0934,0.49490002,46049013760.0,Industrials,0.506,52.753
Labcorp,LH,26.504957,16.165861,0.282,0.11728,0.2382,26009579520.0,Healthcare,0.851,79.124
Lam Research,LRCX,50.019093,24.726564,0.348,0.65066004,0.18059999,360518057984.0,Technology,1.859,33.049
Las Vegas Sands,LVS,15.496124,11.387718,-0.198,1.22869,0.4264,25895092224.0,Consumer Cyclical,0.819,1703.902
Leidos,LDOS,11.9225025,10.014667,-0.067,0.27781,0.1578,16024099840.0,Technology,0.572,123.276
Lennar,LEN,14.475378,13.862539,-0.48,0.05962,0.3788,18411616256.0,Consumer Cyclical,1.398,27.736
Lennox International,LII,15.958685,13.743739,0.001,0.71757007,0.2337,12415232000.0,Industrials,1.184,156.082
Lilly (Eli),LLY,38.78002,24.352015,0.262,1.02286,0.2169,1028115464192.0,Healthcare,0.502,162.071
Linde plc,LIN,29.703226,23.543587,0.113,0.18400998,0.4,212235255808.0,Basic Materials,0.727,68.947
Lockheed Martin,LMT,19.667404,16.284359,4.438,0.89165,0.5033,123099168768.0,Industrials,0.104,234.238
Loews Corporation,L,13.223313,37.162067,0.156,0.09313,0.0307,22031173632.0,Financial Services,0.507,44.609
Lululemon Athletica,LULU,8.070782,11.162577,-0.059,0.30898002,0.0,10856224768.0,Consumer Cyclical,0.864,44.689
Marathon Petroleum,MPC,14.7428875,9.959271,3.48,0.42099,0.1356,119319642112.0,Energy,0.527,133.328
Marsh McLennan,MRSH,21.368742,15.337802,0.073,0.25902998,0.4396,83516743680.0,Financial Services,0.577,145.027
Martin Marietta Materials,MLM,31.90117,24.052727,-0.232,0.08894,0.2159,34844950528.0,Basic Materials,1.101,54.945
